day,session,symbol,exit_reason,source_signal,intent,mapped_order_class,semantics,n_order_rows_that_day,engine_order_events,matched_order_ids,take_half_marked_complete_by_trigger_only,resend_freezes_same_event_id,fifo_vs_per_clip_risk_intent
2019-05-14,am,sz.002882,time_exit,2019-05-14,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002882-sell/profit-2019-05-14-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-07-29,am,sz.002592,stop,2019-07-29,risk,risk sell,stop loss; K=3 fallback armed,1,filled_limit_sell,sz.002592-sell/risk-2019-07-29-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-08-06,am,sz.002745,stop,2019-08-06,risk,risk sell,stop loss; K=3 fallback armed,1,filled_limit_sell,sz.002745-sell/risk-2019-08-06-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-08-07,am,sz.002299,time_exit,2019-08-07,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002299-sell/profit-2019-08-07-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-08-12,am,sz.000912,time_exit,2019-08-12,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.000912-sell/profit-2019-08-12-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-10-15,pm,sz.002299,account_trim,2019-09-30,risk,risk sell,D3 account de-leverage; K=3 fallback,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-10-15,pm,sz.002318,account_trim,2019-09-30,risk,risk sell,D3 account de-leverage; K=3 fallback,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-10-15,pm,sz.002639,account_trim,2019-09-30,risk,risk sell,D3 account de-leverage; K=3 fallback,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-10-25,am,sz.002299,account_trim,2019-09-30,risk,risk sell,D3 account de-leverage; K=3 fallback,1,filled_limit_sell,sz.002299-sell/risk-2019-10-25-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-11-01,am,sz.002299,protection,2019-11-01,risk,risk sell,protection line; K=3 fallback armed,1,filled_limit_sell,sz.002299-sell/risk-2019-11-01-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-11-07,am,sz.002318,time_exit,2019-11-07,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002318-sell/profit-2019-11-07-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-11-11,am,sz.002639,time_exit,2019-11-11,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002639-sell/profit-2019-11-11-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2019-11-13,am,sz.002151,time_exit,2019-11-13,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002151-sell/profit-2019-11-13-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-01-21,am,sz.002299,stop,2020-01-21,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002299-sell/risk-2020-01-21-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-01-21,pm,sz.002299,stop,2020-01-21,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002299-sell/risk-2020-01-21-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-01-22,am,sz.002299,stop,2020-01-21,risk,risk sell,stop loss; K=3 fallback armed,2,filled_limit_sell;not_penetrated,sz.002299-sell/risk-2020-01-21-pm;sz.002299-sell/risk-2020-01-22-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,am,sz.002182,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002182-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,am,sz.002489,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002489-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,am,sz.002903,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002903-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,pm,sz.002182,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002182-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,pm,sz.002489,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002489-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-03,pm,sz.002903,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,1,not_penetrated,sz.002903-sell/risk-2020-02-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-04,am,sz.002489,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,2,filled_limit_sell;not_penetrated,sz.002489-sell/risk-2020-02-03-pm;sz.002489-sell/risk-2020-02-04-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-04,am,sz.002903,stop,2020-02-03,risk,risk sell,stop loss; K=3 fallback armed,2,filled_limit_sell;not_penetrated,sz.002903-sell/risk-2020-02-03-pm;sz.002903-sell/risk-2020-02-04-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-20,pm,sz.002184,account_trim,2020-01-23,risk,risk sell,D3 account de-leverage; K=3 fallback,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-24,am,sz.002184,take_half,2020-02-24,profit,profit sell,partial profit; NOT complete on trigger,1,session_expired,sz.002184-sell/profit-2020-02-24-am,no,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-24,pm,sz.002184,take_half,2020-02-24,profit,profit sell,partial profit; NOT complete on trigger,1,session_expired,sz.002184-sell/profit-2020-02-24-am,no,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-25,pm,sz.002184,clear,2020-02-25,profit,risk sell,full clear (signal / seat release),1,filled_limit_sell,sz.002184-sell/profit-2020-02-24-pm,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-02-26,am,sz.002184,clear,2020-02-25,risk,risk sell,full clear (signal / seat release),2,filled_limit_sell;session_expired,sz.002184-sell/profit-2020-02-25-pm;sz.002184-sell/risk-2020-02-26-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-04-30,am,sz.000813,time_exit,2020-04-30,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.000813-sell/profit-2020-04-30-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-05-12,am,sz.002605,time_exit,2020-05-12,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002605-sell/profit-2020-05-12-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-05-14,am,sz.002258,time_exit,2020-05-14,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002258-sell/profit-2020-05-14-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-05-20,am,sz.002312,time_exit,2020-05-20,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002312-sell/profit-2020-05-20-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-03,am,sz.002585,account_trim,2020-06-30,risk,risk sell,D3 account de-leverage; K=3 fallback,1,filled_limit_sell,sz.002585-sell/risk-2020-07-03-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-09,am,sz.002585,take_half,2020-07-09,profit,profit sell,partial profit; NOT complete on trigger,1,filled_limit_sell,sz.002585-sell/profit-2020-07-09-am,no,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-10,am,sz.002384,time_exit,2020-07-10,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002384-sell/profit-2020-07-10-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-13,am,sz.002585,clear,2020-07-13,profit,risk sell,full clear (signal / seat release),1,filled_limit_sell,sz.002585-sell/profit-2020-07-13-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-24,am,sz.002709,stop,2020-07-24,risk,risk sell,stop loss; K=3 fallback armed,1,filled_limit_sell,sz.002709-sell/risk-2020-07-24-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-30,am,sz.002702,account_trim,2020-06-30,risk,risk sell,D3 account de-leverage; K=3 fallback,1,not_penetrated,sz.002702-sell/risk-2020-07-30-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-07-31,am,sz.002702,time_exit,2020-07-31,profit,profit sell,expiry silent; no K=3 fallback,2,filled_limit_sell,sz.002702-sell/risk-2020-07-30-pm;sz.002702-sell/profit-2020-07-31-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-08-04,pm,sz.002324,stop,2020-08-04,risk,risk sell,stop loss; K=3 fallback armed,0,,,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
2020-08-11,am,sz.002489,time_exit,2020-08-11,profit,profit sell,expiry silent; no K=3 fallback,1,filled_limit_sell,sz.002489-sell/profit-2020-08-11-am,,"yes: the standing risk order is keyed by (symbol, intent, source_signal); a re-issue re-anchors and keeps the K streak (M1)","FIFO consumption is used for partial sells, while a risk intent targets the aggregate position: a per-clip risk line can be crossed while FIFO sells a different clip. Registered mismatch (C2 transfer item); C4 disposition: keep FIFO, document that no per-clip risk exit primitive exists, and re-estimate any per-clip risk claim rather than adding a second exit path"
