evidence_id,path,file_sha256,semantic_sha256,source_commit,run_id,artifact_type,original_status,current_evidence_status,superseded_by,limitations
EV-29,docs/evidence/trial-ledger.md,2457a9fb08dd2ff766680102b47bcfb13d4efbaa3da47ea799d7b2475e3e323c,same,ae226d9,—,trial_ledger,试验台账正本（TL-41 后累计 325 尝试）,valid,,"自述 TL-40 之后 alpha158/基线重建各 run 未入账（执行方遗留）；2026-09-22 修正为零尝试消费所以台账不变，但四个 attrib2 运行也未入账"
EV-30,docs/evidence/trial-ledger.json,2c6cc369ecbc118026e5d4c7e883401737b141b20f15449b37a9c1358d37dbf1,421a9220dd2294b76e1cd5cf6c35ef63a1f29291714d61fd5b2b6373c31e85d4,ae226d9,—,trial_ledger,机器可读台账,valid_with_gaps,,"文件时间戳 2026-09-21 01:21，早于 md 正本（2026-09-21 22:43），可能未含 TL-40/TL-41；以 md 为人类可读正本（文件自述）"
EV-31,src/quant/backtest/band_engine.py,40f1aaebe49b8c5dba04e6d235155ff1e3db96c70d2b70490f7eb4e3a4537abd,same,ae226d9,—,engine_source,引擎 v1.5 源码,valid,,"文件字节与 attrib2 运行 manifest 的 engine pin 一致，证明那些运行期间引擎未被改写；C0 未修改该文件"
EV-32,src/quant/research/event_family_signals.py,994d6d09de4932a56918645cbc2c4686f81459a006cf454a70299abd6bd0ba5d,same,ae226d9（工作树未提交修改）,20260922T002611-eventfam-attrib2-eed5cf,signal_source,事件族信号与席位/触发实现,pending_commit,,"含未提交的 C0 修正（b1_strict_numeric 参数与 type_upgrade/numeric_revision/numeric_available 字段）；哈希与 attrib2 pin 一致，与 HEAD blob 不同；默认行为不变的断言来自运行级比对而非独立复核"
EV-33,src/quant/research/attribution_lib.py,0867f740546cd06d855c2ca1b20fb90c8b0122bef1a8e1eb8678aa9635569deb,same,未提交（未跟踪新增文件）,20260922T002611-eventfam-attrib2-eed5cf,library_source,边界感知归因库,pending_commit,,"未跟踪、未提交；被 attrib2 最终运行 pin 为 0867f740…；其纯函数性质与边界断言由同目录测试覆盖，但 C0 未重跑"
EV-34,tests/test_event_attribution_c0.py,73367994f167fe3edb38ab2f44be2e4e218523ff0ffbcdd7b6f6f62cd06d5298,same,未提交（未跟踪新增文件）,—,test_file,C0 归因修正测试（报告称新增 10 项）,pending_commit,,"未跟踪、未提交；C0 未运行任何测试，因此“10 项新增/全仓 713 passed”在本阶段均属未复核声明"
EV-35,docs/evidence/pytest_full_suite_20260921-audit-fix.log,0ba33a41aaec86b880a3065e8f69ce9c7d59bbd69f8856416f81e10782f71c56,f2d2d5e69dcf36b06205bc5d51a5781f2883d4aa2c9383a890e8ae8d3891a442,ae226d9,—,test_log,2026-09-21 第一轮全仓测试日志,valid,,"只覆盖 2026-09-21 那一轮；不是阶段 B 之后（713 passed 声明）的日志"
EV-36,docs/evidence/pytest_full_suite_20260921-round2-fix.log,654f5b31fd2cf7a4529c71079493fedb2a6f385a20114b466fec6f0baea7f993,50c3784d434124919e781753198489c29d9b563f5efab31cde9f5088bc6da377,ae226d9,—,test_log,2026-09-21 第二轮全仓测试日志,valid,,"同上；仓库内没有对应 2026-09-22“全仓 713 passed”的测试日志文件 → 该数字缺归档证据（见 takeover_state 与 change_scope_review）"
EV-37,README.md,f4ae516a5b54c73732c405efa2e8a17a1fcba790fe536a3701569a80efc86ce7,17eae7fb62942d89ec9cedcad2ca7a9e44e839197ae2a5e011710d6b150d6239,ae226d9（工作树已修改）,—,entry_doc,项目入口与当前进度,valid_with_corrections,,"“C0 归因修正完成”中的 C0 与执行包阶段 C0 撞名（冲突 C-11）；“全仓 713 项测试通过”无对应日志。本哈希是工作树未提交版本"
EV-38,docs/plans/daily-short-term-rebuild.md,955d81e6b8cf79b399cc28053c9562de2c7fe3e8e0da5c58076aa1e913ed1268,same,ae226d9（工作树已修改）,—,plan_doc,旧主计划（含 2026-09-22 追加记录）,valid,,"147KB 单文件；AGENTS 1 第22行把验收条件指向它，与执行包冲突（冲突 C-10）；其中的 2026-09-22 追加段是本轮未提交工作的主要文字留痕"
EV-39,docs/plans/p3-band-contract.md,2b03281c1d301725d90cf36c0bca33f50483e916c78f14206dc4a476af889331,same,ae226d9,—,contract_doc,执行与会计合同正本（v0/v1/…/v1.5）,valid,,"文档状态为“方案稿”；含 ETF 腿与 val 事件清单；金额舍入规则未在其中冻结（冲突 C-06）"
EV-40,docs/research/research-ledger-20260921.md,76541f95d9cef3b7043808abb03ab647a1e8144500f6634f43ea98fbfe5822ee,same,ae226d9,—,research_ledger,研究总账（含 val 已消费 13 配置）,valid,,"汇总文件，与 trial-ledger 的 val 记账并不同步；“654 项测试/生产级”等旧评价不代表当前已验证结论"
EV-41,docs/code_audit_stock_first.md,5d7be8bf0d55443e2844c88eba2b49507fa8f81677caac27d87ec21821e1d83a,25fa83a8cf37f6d783ce32eab8b10799ad740b41799ddcb77d767b2e7d2e34de,ae226d9,—,audit_report,2026-09-21 源码复审 C1-C4/Q1/Q2 修复记录,valid_with_corrections,,"审计文档本身未经 C0 复核；其结论“20万口径缺陷已修”只到修复记录层级，修复后的数字是否可信仍取决于 C2/C3"
EV-42,src/quant/research/risk_overlay_runner.py,022640dd2c51b721026e870490943f8cbae7395f5c11ad3a1d6e20ce429dcf0a,same,ae226d9,20260921T223157-eventfam-main-cb4cff,runner_lib,账户级风险叠加与意图行构造（含 BASE_ATTACK_WEIGHT=0.10）,valid,,"每席 10% 是研究参数而非硬规则（冲突 C-04）；C0 未修改该文件"
EV-43,docs/quant_stage_plan_20260922/,not_applicable（目录）,not_applicable,未提交（未跟踪）,—,execution_package,阶段执行包（本 C0 的授权与验收来源）,valid,,"未入库、无 git 身份；包内 package_manifest.json 给出各文件 sha256，C0 未逐文件复核该清单。本 C0 的全部授权只来自 prompts/01_start_C0.md"
EV-44,docs/legacy/,not_applicable（目录）,not_applicable,ae226d9,—,legacy_archive,旧项目只读档案,valid_as_archive,,"AGENTS 1 明确：其中的 AGENTS.md、任务书、收益数字与环境配置不代表当前项目已实现或已验证"
