# fcst-reason-struct-pilot 输入渲染（由 sample_fcst_reason_pilot.py seed=17 生成）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/
#       non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=000 type=不确定 ts_code=600909.SH end_date=20181231 ann_date=20181030 update_flag=1
REASON: 公司2018年9月28日发布2018-45号公告，对控股子公司上海恒安空调设备有限公司（以下简称“上海恒安公司”）解散及清算事项进展情况进行了详细披露。上海恒安公司解散及清算期间发生的有关事项将对上市公司当期业绩产生重大影响，其中房产处置事项将增加上海恒安公司当期账面收益约1,266.55万元；西上海集团有限公司对上海恒安公司退租事项进行补偿将增加上海恒安公司当期账面收益约246.60万元；上述2项合计预计增加上海恒安公司当期账面收益约1,513.15万元，合并报表增加归属于母公司股东的净利润约907.89万元。因此，公司第三季度业绩将实现扭亏为盈。

### ordinal=012 type=扭亏 ts_code=002785.SZ end_date=20181231 ann_date=20181030 update_flag=0
REASON: 1、预计全年营业收入相比上年保持增长势头，因此带来营业利润增加；受惠于人民币贬值，出口业务盈利水平提高；2、中美贸易战，给公司经营业绩带来一定的不利影响。

### ordinal=013 type=扭亏 ts_code=000061.SZ end_date=20190630 ann_date=20190713 update_flag=0
REASON: 1、公司下属深圳海吉星物流园、成都公司、天津韩家墅公司等市场经营性收入同比增加，天津海吉星同比减亏。2、参股公司合肥周谷堆公司实现商铺销售收益；参股公司深粮控股（原“深深宝”，证券代码：000019、200019）2018年10月完成发行股份购买资产事项，本报告期相比上年同期扭亏为盈；参股公司担保公司收回逾期贷款等原因，致公司投资收益同比增加。

### ordinal=014 type=扭亏 ts_code=000558.SZ end_date=20191231 ann_date=20191031 update_flag=1
REASON: 1、公司持续转型体育行业，该板块的业务尚未充分体现；2、受市场、政策等因素影响，存量房产去化难度加大，进展较缓，房地产板块业务与去年同期相比大幅下降。

### ordinal=015 type=扭亏 ts_code=000626.SZ end_date=20190630 ann_date=20190711 update_flag=0
REASON: 公司本期业绩较上年同期扭亏为盈的主要原因是2019年上半年公司根据对主要经营商品的研究，适时、适当地采取了相对稳健的经营策略。

### ordinal=016 type=扭亏 ts_code=000893.SZ end_date=20190930 ann_date=20191015 update_flag=1
REASON: 本报告期(2019年1-9月),公司归属于上市公司股东的净利润扭亏为盈的主要原因是：（1）钾肥业务在报告期内归属于上市公司股东的净利润为盈利约5,270万元，较上年同期增加归属于上市公司股东的净利润约2,370万元，主要原因为钾肥产品销售单价较上年同期增加，同时钾肥销量及生产量均较上年同期增加。（2）贸易业务在报告期内归属于上市公司股东的净利润较上年同期亏损增加约650万元，亏损原因是国内饲养市场延续上半年情况，仍受到非洲猪瘟冲击的影响，饲料谷物的需求减少，抑制饲料原料价格。同时受中美贸易纠纷的影响，人民币汇率受压，饲料谷物的进口成本增加，打击进口农产品贸易业务。（3）航运业务在报告期内由于中美贸易纠纷未达成协议，及船运市场供过于求的情况，业务处于调整期，亏损较上年同期减少约790万元。（4）东凌国际母公司较上年同期亏损减少约1,200万，主要在于投资理财收入较上年同期增加。

### ordinal=017 type=扭亏 ts_code=002164.SZ end_date=20190630 ann_date=20190427 update_flag=0
REASON: 1、上年同期年富供应链巨额亏损；2、业绩承诺相关的应收股份股价变动导致公允价值变动；3、装备制造业大力拓展市场，销售利润同比上升。

### ordinal=018 type=扭亏 ts_code=002423.SZ end_date=20190930 ann_date=20191015 update_flag=0
REASON: 2019年初，公司完成重大资产重组的置入资产过户，根据企业会计准则中同一控制下企业合并的相关规定，中粮资本投资有限公司及其下属子公司纳入公司合并报表，业绩变动由此导致。

### ordinal=019 type=扭亏 ts_code=300152.SZ end_date=20190331 ann_date=20190410 update_flag=0
REASON: 公司2019年1-3月归属于上市公司股东的净利润较上年同期实现扭亏为盈，主要原因为：1.公司经营情况平稳向好，各项业务有序开展，并持续拓展新地区订单；2.报告期内，公司处置子公司增加本期投资收益9,680.00万元。报告期内，公司非经常性损益对净利润的影响金额预计为7,898.00万元。

### ordinal=020 type=扭亏 ts_code=300163.SZ end_date=20190930 ann_date=20190912 update_flag=1
REASON: 本公司2018年7月1日到9月30日期间利润（上年同期）为亏损，2019年7月1日到9月30日期间（本年同期）利润很可能为盈利，与上年同期相比属于扭亏为盈。本次更正差异，主要系本报告期处置KRS公司时的交易价格与评估公允价值差异。该差异金额为24,169,309.34元（差异金额=交易作价（1元）-评估净资产（归母））。更正前，该差异按长期股权投资及合并报表相关准则中处置子公司的规定计入了当期损益；本次更正，系根据中国证券监督管理委员会〔2009〕34号《关于做好上市公司2009年年度报告及相关工作的公告》中对“合理认定权益性交易取得的经济利益流入”的相关公告条款进行处理更正，将其差异金额更正计入资本公积。故而减少净利润金额24,169,309.34元。

### ordinal=021 type=扭亏 ts_code=300345.SZ end_date=20190930 ann_date=20191015 update_flag=0
REASON: 报告期内公司通过诉讼等司法途径收回预付投资款，减少坏账准备的计提。预计2019年前三季度非经常性损益对公司净利润的影响金额约为600万元。

### ordinal=022 type=扭亏 ts_code=000007.SZ end_date=20191231 ann_date=20200131 update_flag=0
REASON: 1、本业绩预告期间公司生产经营情况正常，业绩扭亏主要系公司2019年无需新增计提诉讼仲裁案件产生的预计负债及处置房产、转让持有的宁波保税港区佳杉资产管理合伙企业（有限合伙）（以下简称“佳杉资产”）劣后份额所致。2、公司2019年非经常性损益影响净利润约3400万元，其中处置房产影响净利润约1500万元，转让佳杉资产劣后份额影响净利润约1400万元，证券投资收益影响净利润约500万元。

### ordinal=023 type=扭亏 ts_code=000955.SZ end_date=20200630 ann_date=20200711 update_flag=0
REASON: 报告期内,公司经营业绩较上年同期大幅增长,主要系受全球新冠疫情影响,国内外口罩,防护服,湿巾等医疗和卫生防护用品市场需求激增,公司作为上述医疗防护物资上游原材料无纺布的供应商,产品销售额在市场需求带动下出现超常增加,从而导致营业收入和毛利比上年同期大幅增长.

### ordinal=024 type=扭亏 ts_code=000981.SZ end_date=20200930 ann_date=20201015 update_flag=0
REASON: 报告期内，公司在完成各项疫情防控工作的同时，贯彻落实公司的发展战略，保障了主营业务的稳定发展，确保了房地产项目在报告期内如期交付，其结转收入产生经营利润提升了公司的盈利水平，使得报告期实现扭亏为盈。

### ordinal=025 type=扭亏 ts_code=002446.SZ end_date=20201231 ann_date=20201029 update_flag=0
REASON: 业绩扭亏为盈的主要原因系：1、上年同期，公司计提了大额商誉减值准备，而本报告期无大额计提；2、随着我国军队信息化建设的推进及军工行业发展趋势的影响，公司军工业务持续稳步增长。本次对2020年度经营业绩的预计是公司财务部门初步测算的结果，未经注册会计师预审计，具体财务数据以公司在指定信息披露媒体上披露的2020年度报告为准。

### ordinal=026 type=扭亏 ts_code=002571.SZ end_date=20191231 ann_date=20200417 update_flag=0
REASON: 受经济环境影响，公司前期投资的部分项目经初步测算存在减值迹象，预计将出现公允价值变动损失。

### ordinal=027 type=扭亏 ts_code=002613.SZ end_date=20200331 ann_date=20200410 update_flag=0
REASON: 1,主要系公司钢化产业和玻璃深加工产业的高附加值订单增加,毛利较上年同期增加.2,2020年一季度汇率变动预计增加利润约200万元(该项目属于非经常性损益).

### ordinal=028 type=扭亏 ts_code=002623.SZ end_date=20200630 ann_date=20200429 update_flag=0
REASON: 2020年一季度归属于母公司的净利润较去年同期增长162.97%.

### ordinal=029 type=扭亏 ts_code=300002.SZ end_date=20201231 ann_date=20201030 update_flag=1
REASON: 2020年，公司主要游戏产品盈利能力良好、应收款项信用减值损失有所下降；同时，公司强化内部成本管控、细化考核指标、提升精细化管理水平，公司预计年初至下一报告期末的净利润，存在对比上年同期扭亏为盈的可能。有关2020年度的业绩预测是基于公司历史数据、业务订单、项目进展等情况对未来业绩的测算，仅代表公司对全年的预期，公司认为在市场落地、项目如期进展等不发生重大变化的前提下，上述业绩预测可以完成，但不能排除存在一项或多项情况发生改变的可能性，投资者及相关人员均应当对此保持足够的风险认识，并且应当理解计划、预测与承诺之间的差异。

### ordinal=030 type=扭亏 ts_code=300076.SZ end_date=20200331 ann_date=20200410 update_flag=0
REASON: 1,报告期内,公司努力克服新冠肺炎疫情的不利影响,积极推进生产经营,主业大屏幕拼接显示系统产品业务收入同比增长;同时公司加强内部管理,强化成本控制,期间费用较上年同期下降.因此,本期业绩较上年同期实现扭亏为盈.2,报告期内,计入当期损益的非经常性损益对公司净利润的影响约180万元.

### ordinal=031 type=扭亏 ts_code=300330.SZ end_date=20191231 ann_date=20200111 update_flag=0
REASON: 1、2019年度，公司主营业务地铁AFC系统建设，实现包括徐州地铁一号线、呼和浩特地铁一号线在内的多条地铁线路运营通车，主营业务收入较上年同期有所增长。2、2019年度，公司加大应收账款催收力度，销售回款情况有所改善，本报告期按照公司会计政策计提的应收账款坏账准备较上年减少，对本期损益造成积极影响，预计2019年经营性现金净流量较去年同期有较好的增长。3、本报告期内，非经常性损益对净利润的影响金额约为228万元，上年同期为126万元，较上年增加102万元。

### ordinal=032 type=扭亏 ts_code=000766.SZ end_date=20210630 ann_date=20210713 update_flag=1
REASON: 报告期,公司按照董事会新的战略方针,准确理解药品政策变化,采取有效措施最大限度减少疫情的影响,全面提升了公司的综合经营质量和管理能力.1,报告期,公司继续加大资产整合力度,并通过资产置换等措施,进一步改善公司资产质量.同时,公司通过强化内部管理,抓核心,挖潜力,降本增效,提升了公司可持续的盈利能力.2,公司经过一年多的调整,适应了国家药品政策变动对市场带来的新变化,新趋势,同时公司新销售体系调整逐步产生新效果,构建新的市场格局,品种潜力得到进一步释放,主营业务收入大幅提升,导致经营业绩增长.

### ordinal=033 type=扭亏 ts_code=000892.SZ end_date=20210630 ann_date=20210715 update_flag=1
REASON: 步推进。公司影视剧销售收入及艺人经纪收入较上年同期有所增长，销售费用较上年同期降低，公司净利润实现扭亏为盈。剧集方面，公司加强推进预售模式，改善现金流，致力于制作符合社会主义新时代主流价值观的精品影视剧，在仙侠、青春谍战、探险等题材上积极探索系列化的内容，打造品牌优势、强化了与各大平台的良好合作。同时，公司积极推进艺人经纪服务平台的建设，打造标准化服务体系，加强新媒体、电商、综艺、文旅等业务布局。公司积极推进影视剧项目的播出和回款工作，报告期末货币资金余额较2020年报告期末有所增加。截至本公告披露日，2021年公司在平台实现首播的影视剧包括《不说再见》《云顶天宫》，参与联合投资的电影《革命者》上映。报告期内，公司主要在创作中的影视剧（含非执行制片剧）包括《十年一品温如言》《南风知我意》《瑶象传奇》《沉香如屑》等；取得发行许可证或上线备案号的影视剧为《权与利》《梦醒长安》《云顶天宫》。

### ordinal=034 type=扭亏 ts_code=002011.SZ end_date=20210630 ann_date=20210709 update_flag=1
REASON: 公司业绩预计扭亏为盈的主要原因:一是公司紧紧围绕核心主业,坚持技术与产品研发,优化产品结构,各类产品市场份额进一步提升;持续向内挖潜降本,从供产销各方面改善资产运营效率,公司2021年上半年主要产品产销量大幅度增长,营业收入增长,净利润相应增长;二是上年同期受新冠肺炎疫情影响,公司生产和销售受到一定影响;三是上年同期处置非核心资产及业务产生了损失.

### ordinal=035 type=扭亏 ts_code=002023.SZ end_date=20210331 ann_date=20210413 update_flag=1
REASON: 报告期,公司产品结构不断优化,生产经营效率不断提升,主营业务保持稳定增长,另外,本期非经常性损益影响金额同比大幅降低,综上所述公司本期盈利水平实现大幅增长.

### ordinal=036 type=扭亏 ts_code=002092.SZ end_date=20210630 ann_date=20210429 update_flag=1
REASON: 1、主要是受市场影响，公司主要产品聚氯乙烯树脂、粘胶纤维、粘胶纱价格及销量较上年同期上涨所致。2、因市场价格等经营环境因素存在不确定性，请广大投资者注意业绩预测风险。

### ordinal=037 type=扭亏 ts_code=002239.SZ end_date=20210930 ann_date=20211015 update_flag=1
REASON: 公司2021年前三季度业绩变动的主要原因如下：1.今年以来，汽车市场有所恢复，公司主要产品销量在传统能源汽车市场和新能源汽车市场上均较上年同期大幅度增长，带动销售收入及营业利润增长，同比扭亏为盈。2.公司各类主要产品所需的金属、半导体元器件、机械部件等原材料采购价格持续上涨，导致产品成本上涨，毛利不及预期。3.受新冠疫情干扰，公司的国际业务遭遇物流不畅及各类物流费用持续巨幅上涨的严重不利影响，产生大额运输费用，致使产品成本大幅上升，引发海外业务亏损，并导致公司当季整体亏损。4.财务层面，由于流动资金贷款增加，相应利息支出增长，提高了财务费用；由于人民币升值，导致出口业务货币汇兑损失增长。

### ordinal=038 type=扭亏 ts_code=002256.SZ end_date=20201231 ann_date=20210130 update_flag=0
REASON: 1,目前公司主要板块经营情况正常.精细化工业务板块新生产基地已渡过磨合期,产能基本恢复,年初受疫情影响,下半年公司积极争取老客户回流和新营销渠道的开拓,全年营收比上年录得增长;新能源业务板块除个别电站遭受水灾,业务发展基本正常,受灾电站已购买财产一切险和利损险,保险公司理赔方案还在密切洽谈中;此外,孙公司合肥市永聚太阳能电力开发有限公司已收到庐江县政府灾后救助补偿款共计人民币3,200万元,预计水灾事项不会对2020年业绩产生较大负面影响.2,2020年12月,公司与深圳市联玺投资发展有限公司签订《深圳市宝安区石岩街道兆新能源工业园城市更新单元项目拆迁补偿安置协议》并经股东大会审议生效,截至2020年12月31日,公司已收到首期货币补偿款.该资产的相关权利移交已按合同约定履行,本次交易顺利实施完成将增加2020年度净利润,属非经常性损益.3,公司的债务纠纷方面,公司积极与主要债权人进行协商.(1)目前已与深圳科恩斯实业有限公司达成和解,公司若于2021年4月15日前完成和解义务,对方将豁免公司2020年年度未付利息485.09万元(本业绩预告未计入),并自2021年1月1日开始,对于公司未清偿的8,500万元借款本金,将计息利率由2%/月(即24%/年)降低为15.4%/年.(2)截至2021年1月29日,公司尚未偿还东莞瑞禾投资发展有限公司金额为469,746,036.63元,其中:本金461,616,277.98元,违约金8,129,758.65元(截至2021年1月份),利息0元.后续公司将继续努力沟通协商,争取解冻公司相关银行账户,缓解资金流动性问题.

### ordinal=039 type=扭亏 ts_code=002682.SZ end_date=20210630 ann_date=20210715 update_flag=1
REASON: 由于2020年上半年度受新冠疫情及防控措施影响，公司相关产业生产经营受到冲击，业务规模和净利润均出现较大程度下滑，而当前国内疫情防控已进入常态化管理，公司相关产业目前生产经营基本恢复正常，预计2021年半年度实现归属于上市公司股东的净利润为2,500万元至3,000万元。

### ordinal=040 type=扭亏 ts_code=002910.SZ end_date=20210331 ann_date=20210415 update_flag=1
REASON: 1,2021年一季度,公司各项业务均发展良好,公司依托现有奶源优势与智能化制造水平的支持,消费者对公司乳制品的需求在春节消费的带动下有较大幅度提升,促进公司销售收入有较大幅度增长;2,2020年一季度,新型冠状肺炎疫情对公司当期经营业绩造成较大影响导致业绩基数较低.

### ordinal=041 type=扭亏 ts_code=300005.SZ end_date=20210630 ann_date=20210723 update_flag=1
REASON: 2021年半年度，公司紧抓疫情后市场复苏机遇，深挖户外用品细分市场的市场空间，加强市场拓展、营销推广和零售终端精细化管理，提升品牌价值，提高柔性快反产品比例，公司上半年营业收入较去年同期有较大幅度增长，产品毛利率较去年同期也有一定幅度的提升，公司主营业务盈利能力有所提高。同时公司加强预算管理，提升费用管控水平，加强信贷和存货管控，控制和降低经营风险，提高资产质量，上半年信用减值损失和资产减值损失较去年同期大幅减少。综合以上因素，上半年归属于上市公司股东的净利润较去年同期实现扭亏为盈。

### ordinal=042 type=扭亏 ts_code=300681.SZ end_date=20201231 ann_date=20210129 update_flag=0
REASON: 1,2019年少量交付的新能源汽车动力总成产品,电源集成产品在2020年得到了公司新老客户的认可,使之在更多车型上配套使用,出现放量,营业收入有较大增长.2,专用车的环保压力和电动化的经济性,促进了我国电动专用车市场的发展.随着技术的进一步成熟,公司加大了电机,电机控制器等零部件在专用车市场的开拓.报告期内,公司产品在专用车领域的营业收入有较快增长.3,公司强化了新产品的供应链管理,精益生产管理和全面质量管理,公司的产能,品质,毛利率三项重要指标都有相应提升.

### ordinal=043 type=扭亏 ts_code=300806.SZ end_date=20210331 ann_date=20210331 update_flag=1
REASON: 1、本报告期内，高解析度PET光学膜、OCA光学胶膜、精密离型膜等重点投资项目的建设稳步推进，相关产品的研发和导入进展顺利。公司不断开发新的产品应用领域、拓展新的市场（如新能源汽车等），报告期内订单饱满、产销两旺，预计本报告期的销售收入将同比增长40%-50%，同比实现扭亏为盈。2、预计本报告期非经常性损益对净利润的影响金额约410万元（上年同期为215.64万元）。

### ordinal=044 type=扭亏 ts_code=300986.SZ end_date=20210331 ann_date=20210409 update_flag=1
REASON: 新型冠状病毒肺炎疫情自2020年1月在全国爆发以来，国家及各地政府均采取了延迟复工等措施阻止疫情进一步蔓延，对公司的生产经营活动造成了一定短期影响，导致公司2020年1-3月的经营成果和财务表现未达预期。但随着国内疫情得到有效控制，行业上下游均在2020年3-4月复工复产，公司业务迅速恢复增长。

### ordinal=045 type=扭亏 ts_code=600343.SH end_date=20201231 ann_date=20210130 update_flag=0
REASON: （一）主营业务影响报告期，公司调整经营策略，控制贸易业务并加大清收力度，2019年度贸易业务形成尚未承兑的商业汇票7亿元，在报告期按期承兑，转回计提的减值准备，影响损益约1400万元。（二）非经营性损益的影响报告期，经公司积极筹划，航天通信控股集团股份有限公司北京科技分公司所欠公司合同款，在西安市中级人民法院的主持调解下，与相关方签署和解协议，并按约定时间节点收回相关款项，转回2019年度计提的坏账准备，影响损益约1900万元。报告期，公司收到政府补助，预计影响损益约3500万元。报告期，公司控股子公司出售非流动资产，预计影响损益约830万元。

### ordinal=046 type=扭亏 ts_code=600358.SH end_date=20201231 ann_date=20210129 update_flag=0
REASON: （一）主营业务的影响2020年，公司主要控股子公司新线中视收入大幅增长，业务转型顺利推进。（二）非经营性损益的影响1、2020年，樟树市毅炜投资管理中心（有限合伙）、卢郁炜就新线中视之前年度未完成承诺业绩事项对公司进行了业绩补偿，该事项对公司2020年年度归属于上市公司股东净利润的影响金额约为3,200万元；2、2020年度，公司完成了全资子公司海南颐锦酒店管理有限公司100%股权及相关债权的公开转让，该事项对公司2020年年度归属于上市公司股东净利润的影响金额约为1,600万元。

### ordinal=047 type=扭亏 ts_code=688234.SH end_date=20210930 ann_date=20211022 update_flag=1
REASON: 公司经营状况良好，业务模式未发生重大改变，公司产品的销售和主要原材料的采购、主要客户及供应商的构成、主要核心业务人员、税收政策以及其他可能影响投资者判断的重大事项等未发生重大变化，整体经营情况良好。

### ordinal=048 type=扭亏 ts_code=000426.SZ end_date=20211231 ann_date=20220129 update_flag=1
REASON: 2020年，受新冠肺炎疫情影响，公司及各子公司复工时间延迟，子公司银漫矿业受2·23事故影响停产（银漫矿业选矿厂于2020年7月31日恢复生产，采区于2020年9月1日恢复生产），导致公司经营亏损。2021年，公司子公司银漫矿业复产（银漫矿业自2021年2月3日停产，选矿厂于2021年5月2日恢复生产，采区于2021年8月21日恢复生产）、乾金达矿业投产，公司主营矿产品产销量同比增长。报告期内，受宏观经济环境及市场对产品需求变化等因素影响，公司主营矿产品销售价格较上年同期上涨，促使公司经营业绩实现同比增长。

### ordinal=049 type=扭亏 ts_code=000993.SZ end_date=20220331 ann_date=20220415 update_flag=1
REASON: 本报告期归属于上市公司股东的净利润较上年同期上升的主要原因如下：1、本报告期宁德市区域内降水量较上年同期增加，水力发、售电量较上年同期增加；2、本报告期因长短期借款较上年同期减少，财务费用较上年同期减少。

### ordinal=050 type=扭亏 ts_code=300032.SZ end_date=20211231 ann_date=20220128 update_flag=1
REASON: 公司2021年度业绩变动，主要受以下因素的综合影响：1、公司营业收入、综合毛利较上年同期有所增长；2、收到林黎明支付的兴科电子（东莞）有限公司（以下简称“兴科电子”）业绩补偿款1.75亿元，计入营业外收入；3、美国加州联邦法院陪审团对兴科电子被SinCoTechnologiesPteLtd提起的诉讼作出了裁决，基于谨慎性原则，公司按照陪审团裁决结果计提预计负债约9,245万元；4、计提公司子公司金龙机电（淮北）有限公司拟处置的部分闲置房屋建筑物所有权和土地使用权减值准备约5,400万元；5、公司子公司深圳甲艾马达有限公司厂区搬迁产生的员工补偿金额、搬迁费用、装修费用等约1,900万元。

### ordinal=051 type=扭亏 ts_code=300249.SZ end_date=20211231 ann_date=20220129 update_flag=1
REASON: 报告期内，公司盈利水平得到较大提升；公司通过严格控制成本费用，毛利率较上年有所提升；同时加快货款回笼，最终实现业绩扭亏为盈。公司预计归属于上市公司股东的净利润2,500万元至3,500万元，其中信息数据领域预计4,700万元至5,300万元，环保治理领域预计-2,200万元至-1,800万元。报告期内，公司预计非经常性损益的金额约为500万元，去年同期金额为2,094.31万元。

### ordinal=052 type=扭亏 ts_code=603555.SH end_date=20211231 ann_date=20220129 update_flag=1
REASON: 公司预计2021年度归属于上市公司股东的净利润较上年同期扭亏为盈，主要受以下因素的综合影响：（一）公司于2021年度完成司法重整，预计产生债务重组损益约3.93亿元；（二）为加强公司渠道力建设，公司自2021年8月份开始调整销售折扣以支持经销商积极开拓市场，导致本期毛利率有所下降，另外，公司计提资产减值损失约5,201.31万元，对公司归属于上市公司股东的扣除非经常性损益后的净利润产生一定影响。

### ordinal=053 type=扭亏 ts_code=000058.SZ end_date=20230630 ann_date=20230715 update_flag=0
REASON: 公司上年同期贯彻落实政府租金减免政策，对符合政策的商户进行租金减免，本期无此项。另一方面，本期公司通过优化内部治理、加强业务拓展及强化成本管控，盈利能力得以提升。同时，公司参股企业深圳华控赛格股份有限公司本期较上年同期相比业绩大幅增长，公司根据持股比例确认的投资收益同比增加，并确认非经常性损益约7000万元。

### ordinal=054 type=扭亏 ts_code=000533.SZ end_date=20221231 ann_date=20230131 update_flag=1
REASON: 公司预计2022年业绩同比增长，归属于上市公司股东的净利润实现扭亏为盈，影响业绩变动的主要因素包括：1、公司主营业务收入同比增长，营业利润相应增加；2、控股孙公司顺特电气设备有限公司根据建设用地使用权纠纷案的判决结果，转回预计负债2,531万元，导致当期非经常性损益同比增加。

### ordinal=055 type=扭亏 ts_code=002668.SZ end_date=20221231 ann_date=20230114 update_flag=1
